StepCounter	 Dynamics	 ConfDynamics	 NConDynamics	  Zeros	  Ones	 ConfZeros	 NConfZeros	 ConfOnes	 NConfOnes	 Stress	 ConfStress	 NConStress	 frameRate	 NofClusters	 MnClustersSize	 MaxClustersSize	 MinClustersSize	 MnClustersDiam	 MaxClustersDiam	 MinClustersDiam	 MnClustersBRat	 MaxClustersBRat	 MinClustersBRat	 RatioA	 RatioB	 Noise	 MaxStrengh	 Distribution	 Bias	 N
20	 0.015644444	 0.008272232	 0.14379086	 4393	 1232	 4342	 51	 977	 255	 0.13493334	 0.095859185	 0.814134	 8.392542	 27	 201.88888888888889	 4379	 2	 8.724580672052172	 52.3259	 1.0	 0.7733760167051245	 1.0	 0.254396	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
21	 0.020622222	 0.011280316	 0.18300654	 4407	 1218	 4352	 55	 967	 251	 0.13511111	 0.09548318	 0.8239379	 8.5493555	 28	 194.53571428571428	 4394	 2	 8.30668910912105	 52.3259	 1.0	 0.7819831626755851	 1.0	 0.2539827	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
22	 0.017066667	 0.010340289	 0.13398694	 4421	 1204	 4373	 48	 946	 258	 0.13511111	 0.09522466	 0.82843137	 8.27431	 28	 194.5	 4406	 2	 8.21224348459925	 52.3259	 1.0	 0.7935178333095142	 1.0	 0.25170222	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
23	 0.016888889	 0.010340289	 0.13071896	 4436	 1189	 4380	 56	 939	 250	 0.13351111	 0.09402613	 0.81985295	 8.296201	 30	 181.66666666666666	 4423	 2	 7.616345465183258	 52.3259	 1.0	 0.8008958369493484	 1.0	 0.24983042	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
24	 0.015822222	 0.009588269	 0.12418301	 4449	 1176	 4395	 54	 924	 252	 0.13386667	 0.09426114	 0.82230395	 8.381135	 29	 187.82758620689654	 4434	 2	 7.852971894987698	 52.3259	 1.0	 0.8013838036306973	 1.0	 0.24853405	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
25	 0.015466667	 0.009024253	 0.12745099	 4462	 1163	 4417	 45	 902	 261	 0.1336	 0.09362662	 0.82843137	 8.496792	 30	 181.53333333333333	 4449	 2	 7.55726623137792	 52.3259	 1.0	 0.8104632303118706	 1.0	 0.24837042	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
26	 0.018666666	 0.012596353	 0.12418301	 4467	 1158	 4422	 45	 897	 261	 0.1328	 0.092663094	 0.83047384	 8.648568	 28	 194.35714285714286	 4453	 2	 7.989495383841651	 52.3259	 1.0	 0.803104509732553	 1.0	 0.24724905	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
27	 0.016533334	 0.009776274	 0.13398694	 4460	 1165	 4414	 46	 905	 260	 0.13253333	 0.09238109	 0.83047384	 8.757594	 29	 187.89655172413794	 4445	 2	 7.803115228126789	 52.3259	 1.0	 0.8091131125030846	 1.0	 0.24701913	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
28	 0.015644444	 0.009024253	 0.13071896	 4468	 1157	 4424	 44	 895	 262	 0.132	 0.09177007	 0.83129084	 8.868576	 29	 187.82758620689654	 4453	 2	 7.65532844642113	 52.3259	 1.0	 0.8119967667193249	 1.0	 0.24657534	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
29	 0.014755555	 0.0073322053	 0.14379086	 4483	 1142	 4441	 42	 878	 264	 0.13208888	 0.09151156	 0.8374183	 8.612765	 29	 187.72413793103448	 4469	 2	 7.5794252074998	 52.3259	 1.0	 0.8163190833453474	 1.0	 0.2459163	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
30	 0.014933334	 0.0107163	 0.0882353	 4497	 1128	 4452	 45	 867	 261	 0.13084444	 0.09059504	 0.83047384	 8.746659	 30	 181.46666666666667	 4482	 2	 7.328874333699544	 52.3259	 1.0	 0.8256092220544815	 1.0	 0.243195	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
31	 0.017422222	 0.011280316	 0.12418301	 4501	 1124	 4462	 39	 857	 267	 0.13146667	 0.09052453	 0.84313726	 8.475372	 32	 170.09375	 4488	 2	 6.773692011833191	 52.3259	 1.0	 0.8374201152473688	 1.0	 0.24532086	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
32	 0.014577778	 0.008084226	 0.12745099	 4511	 1114	 4467	 44	 852	 262	 0.13084444	 0.08986652	 0.84313726	 8.331293	 29	 187.6206896551724	 4498	 2	 7.181471701326041	 52.3259	 1.0	 0.8478240817785263	 1.0	 0.24455313	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
33	 0.015644444	 0.0075202105	 0.15686275	 4525	 1100	 4475	 50	 844	 256	 0.13013333	 0.08916149	 0.84232026	 8.493364	 29	 187.68965517241378	 4513	 2	 7.151572860520462	 52.3259	 1.0	 0.8483399856707146	 1.0	 0.24307556	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
34	 0.0152888885	 0.010152284	 0.104575165	 4513	 1112	 4473	 40	 846	 266	 0.1304	 0.089137994	 0.84763074	 8.598644	 30	 181.36666666666667	 4500	 2	 6.918920079867045	 52.3259	 1.0	 0.8482494865854581	 1.0	 0.24355556	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
35	 0.014222222	 0.009024253	 0.104575165	 4525	 1100	 4479	 46	 840	 260	 0.12986666	 0.088785484	 0.84395427	 8.735664	 28	 194.21428571428572	 4513	 2	 7.341936034815652	 52.3259	 1.0	 0.8424091578594276	 1.0	 0.2437403	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
36	 0.014044444	 0.009776274	 0.0882353	 4536	 1089	 4491	 45	 828	 261	 0.12888889	 0.08772796	 0.84436274	 8.497542	 28	 194.14285714285714	 4524	 2	 7.262985906430653	 52.3259	 1.0	 0.8435993487281459	 1.0	 0.24292661	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
37	 0.014044444	 0.008084226	 0.11764706	 4527	 1098	 4486	 41	 833	 265	 0.13004445	 0.08836248	 0.85457516	 8.380142	 28	 194.25	 4515	 2	 7.395199818270547	 52.3259	 1.0	 0.8447672341551099	 1.0	 0.24429679	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
38	 0.015466667	 0.008648242	 0.13398694	 4536	 1089	 4490	 46	 829	 260	 0.1288	 0.08728144	 0.8504902	 8.542792	 27	 201.37037037037038	 4524	 2	 7.562076281618189	 52.3259	 1.0	 0.8371775851205543	 1.0	 0.24204244	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
39	 0.0128	 0.008460237	 0.0882353	 4540	 1085	 4503	 37	 816	 269	 0.1288	 0.086928934	 0.8566176	 8.417247	 28	 194.17857142857142	 4527	 2	 7.308492072990963	 52.3259	 1.0	 0.8439915526126113	 1.0	 0.24254473	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
40	 0.014755555	 0.006956195	 0.1503268	 4557	 1068	 4516	 41	 803	 265	 0.1287111	 0.08683493	 0.8566176	 8.282426	 28	 194.10714285714286	 4545	 2	 7.298209607601166	 52.3259	 1.0	 0.8479316362312862	 1.0	 0.24246424	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
41	 0.013511111	 0.0067681894	 0.13071896	 4571	 1054	 4522	 49	 797	 257	 0.12782222	 0.08634142	 0.8488562	 8.198812	 28	 194.21428571428572	 4560	 2	 7.285167413098471	 52.3259	 1.0	 0.8514816596039704	 1.0	 0.24057017	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
42	 0.010844445	 0.006392179	 0.0882353	 4558	 1067	 4510	 48	 809	 258	 0.12764445	 0.086247414	 0.8472222	 8.110518	 27	 201.37037037037038	 4547	 2	 7.6016719871097145	 52.3259	 1.0	 0.8462195655813923	 1.0	 0.24037828	 0.45	 0.05	 2.0	 1000.0	 0	 -7.0	 75
